family,mechanism,expected_regime,expected_session,likely_correlation_to_portfolio,likely_high_vol_behaviour,parameter_sensitivity_risk,data_requirements,implementation_complexity,reason_it_might_diversify
Mean reversion,Fade extremes back toward a mean (e.g. z-score vs SMA),Range/LOW-NORMAL vol,Any (currently Asian in this book),HIGH (this is the current portfolio's dominant family -- 81.5% risk-weighted),Typically NEGATIVE without a trend filter (confirmed live in this book for AUDJPY/CADJPY AMR),Moderate (threshold/lookback choices),Low (intraday OHLC sufficient),Low,"Would not diversify -- already dominant; only a candidate here if it uses a genuinely different instrument/session/regime filter than the existing AMR design"
Trend following,Enter and hold in the direction of an established multi-bar move,HIGH vol / trending,Any,LOW-MODERATE (tested in Phase33 via USDCAD),Typically POSITIVE (needs a real move to exist),HIGH -- Phase33's USDCAD candidate showed a full sign reversal under +-20% perturbation,Moderate (needs multi-bar lookback + ATR),Low-Moderate,Genuinely different mechanism from AMR; directly targets the HIGH-vol gap
Momentum,Continue in the direction of recent strong performance (often multi-day/weekly),HIGH vol / trending,Any,LOW-MODERATE,Typically POSITIVE,Moderate-HIGH,Daily/weekly bars,Low-Moderate,Related to trend-following; different lookback horizon could reduce correlation to a pure trend system
Breakout,Enter on a close beyond a defined range,Volatility expansion,Session-dependent (London/NY opens common),MODERATE (CADJPY ARB in the current book is already this family),Typically POSITIVE if range is well-chosen,Moderate (range definition, cost of false breaks),Low (OHLC),Low-Moderate,"Only diversifies if the range/session/instrument differs meaningfully from the existing CADJPY ARB (Asian-range, London-open)"
Volatility expansion,Enter following a measured rise in realized volatility,HIGH vol (by construction),Any,LOW,STRONG POSITIVE by construction,Moderate,ATR/realized-vol history,Low-Moderate,Directly targets the HIGH-vol gap by design -- the family most mechanically aligned with Phase 32 Priority 1
Volatility contraction -> expansion,Wait for a measured LOW-vol period then trade the subsequent breakout,Transition from LOW to HIGH vol,Session-dependent,LOW (tested in Phase33 via XAUUSD),Was POSITIVE in Phase33's XAUUSD test but failed robustness (OOS sub-half + parameter sensitivity),HIGH -- confirmed fragile in Phase33,ATR/range history,Moderate,"Already tested once (XAUUSD, Phase33) -- failed on implementation-specific robustness grounds, not necessarily a structural rejection of the family (see Phase34 §6/§9)"
Opening range breakout,Trade a break of the first N minutes/hours of a session's range,Volatility expansion at session open,Session-specific (London/NY open),MODERATE,Typically POSITIVE,Moderate,Intraday OHLC,Low,"A narrower, more session-specific variant of Breakout -- directly addresses the NY-session gap if applied to the NY open specifically (not yet tested)"
Session breakout,Similar to opening-range but generalized to any session transition,Volatility expansion at session transitions,Multi-session,MODERATE,Typically POSITIVE,Moderate,Intraday OHLC,Low-Moderate,Could specifically target the London-to-NY transition the current book has zero exposure to
Market structure continuation,Trade continuation after a confirmed structural break (higher-high/higher-low sequences etc.),Trending,Any,LOW-MODERATE,Typically POSITIVE,HIGH (structure definitions are subjective and prone to curve-fitting),Multi-timeframe OHLC,HIGH,"Genuinely different mechanism, but highest overfitting risk of the trend-family group -- requires the most disciplined pre-registration"
Pullback continuation,"Enter on a shallow retracement within an established trend, not the initial breakout",Trending with intermittent consolidation,Any,LOW-MODERATE,Typically POSITIVE (needs the same underlying trend as pure trend-following),Moderate-HIGH,Multi-timeframe OHLC,Moderate,"Related to trend-following but a different entry-timing mechanic -- could show lower correlation to a pure breakout/momentum system while sharing the same underlying edge"
Multi-timeframe trend,Combine a higher-timeframe trend filter with a lower-timeframe entry trigger,Trending,Any,LOW-MODERATE,Typically POSITIVE,Moderate (two timeframes to calibrate, but each less sensitive individually),Two OHLC series,Moderate,"Directly answers Phase33's USDCAD lesson (a single-timeframe momentum threshold sat near a fragile edge) -- a slower higher-timeframe filter could plausibly widen the robust parameter plateau"
Momentum + volatility regime,Only take momentum signals when a volatility-regime filter confirms genuine trending conditions,HIGH vol specifically (by construction),Any,LOW,STRONG POSITIVE by construction,Moderate (fewer trades, but each more selective),ATR + momentum history,Moderate,Combines two of the taxonomy's most HIGH-vol-aligned mechanics into one filter -- a natural Priority-1-first design
Trend + pullback,Trend filter combined with a pullback-timed entry (a specific implementation of Pullback continuation),Trending,Any,LOW-MODERATE,Typically POSITIVE,Moderate-HIGH,Multi-timeframe OHLC,Moderate-HIGH,Same rationale as Pullback continuation -- listed separately per the required taxonomy items
Range expansion,Trade the expansion of a measured multi-bar range (distinct from a single opening-range breakout),Volatility expansion,Any,LOW,STRONG POSITIVE by construction,Moderate,ATR/range history,Low-Moderate,Same rationale as Volatility expansion -- a closely related but distinct implementation choice
Statistical/calendar effects,Day-of-week or intra-month seasonality (e.g. Monday Drift),Regime-agnostic by design,Any,MODERATE (GBPUSD Monday in the current book; AUDUSD Monday LONG tested Phase30),LOW-MODERATE (AUDUSD Monday LONG's own best regime was HIGH-vol, per Phase32),LOW (the effect itself is fixed; few parameters),Daily bars,Low,"Already the most-tested family outside AMR (Phase30's 60-cell screen) -- further within-family search would need a genuinely new calendar hypothesis, not a re-scan of the same weekday x pair grid"
Cross-session continuation,Trade the continuation of a directional move that began in one session into the next (e.g. London move continuing into NY),Trending across session boundaries,London->NY specifically,LOW-MODERATE,Typically POSITIVE,Moderate-HIGH,Intraday OHLC spanning 2 sessions,Moderate,"Directly and simultaneously addresses both the NY-session gap and the mechanism gap -- the single taxonomy item best aligned with Phase32 Priorities 3 and 5 together"
