metric,value,source_exp_id,notes
account_starting_balance,5000,input,As supplied
account_current_balance,4797,input,As supplied (approximate)
account_current_loss_usd,-203,input,As supplied (approximate)
account_current_drawdown_pct,-4.0,input,As supplied (approximate)
account_current_trades,33,input,"As supplied; NOTE: may include pre-2026-07-31 trades from GBPJPY ARB/XAUUSD ARB, now demoted and not part of the current 6-strategy set -- unresolved ambiguity, see report Section 2"
account_current_win_rate_pct,30.3,input,As supplied
account_current_pf,0.30,input,As supplied
account_current_expectancy_R,-0.33,input,As supplied
account_best_trade_R,1.48,input,As supplied
account_worst_trade_R,-1.65,input,"As supplied. FLAGGED: prior forensic audit (reports/live_portfolio_validation_audit.md) documented a -1.65R worst-trade pattern specifically attributed to GBPJPY ARB (min-lot+spread inflation on $5K), which is NOT part of the current 6-strategy set -- if this is the same trade, it predates or is unrelated to the current 6-strategy period. Cannot be confirmed without real trade data."
resampling_test_n_simulations,20000,EXP-113,"33-trade portfolios drawn with replacement from the current 6 strategies' own pooled historical trades, weighted by each strategy's actual historical trading frequency"
resampling_pf_p1,0.477,EXP-113,
resampling_pf_p5,0.618,EXP-113,
resampling_pf_p10,0.713,EXP-113,
resampling_pf_p25,0.914,EXP-113,
resampling_pf_p50,1.216,EXP-113,
resampling_observed_pf_percentile,0.00,EXP-113,"Observed PF~0.30 is below the entire 20,000-draw simulated distribution"
resampling_winrate_p1,48.5,EXP-113,
resampling_winrate_p5,54.5,EXP-113,
resampling_winrate_p10,57.6,EXP-113,
resampling_winrate_p25,60.6,EXP-113,
resampling_winrate_p50,66.7,EXP-113,
resampling_observed_winrate_percentile,0.00,EXP-113,"Observed win rate~30.3% is below the entire 20,000-draw simulated distribution"
resampling_expectancy_p1_usd_100k_ref,-82.63,EXP-113,Scaled to same $100k reference capital as the historical trade pool
resampling_expectancy_p50_usd_100k_ref,20.74,EXP-113,
resampling_observed_expectancy_scaled_usd_100k_ref,-123.03,EXP-113,"Observed -0.33R at $5000 capital scaled proportionally to $100k reference"
resampling_observed_expectancy_percentile,0.04,EXP-113,
prior_portfolio_mc_drawdown_actual_R,29.53,EXP-105-111 (phase26),Actual historical portfolio drawdown for the current 6-strategy config at frozen weights
prior_portfolio_mc_drawdown_p95_R,28.07,EXP-105-111 (phase26),
prior_portfolio_mc_drawdown_p99_R,33.94,EXP-105-111 (phase26),Actual sits between p95 and p99 -- elevated but not extreme
pct_portfolio_trades_jpy,94.3,EXP-105-111 (phase26),
pct_portfolio_risk_jpy,94.7,EXP-105-111 (phase26),
freq_2plus_jpy_losing_days_pct,29.3,EXP-105-111 (phase26),Historical structural reference, not current-period-confirmed
freq_3plus_jpy_losing_days_pct,14.2,EXP-105-111 (phase26),Historical structural reference, not current-period-confirmed
strategies_cost_fragile_count,3,EXP-105-111 (phase26),EURJPY AMR / AUDJPY AMR / CADJPY AMR -- net-losing at 1.5x-2x spread stress in backtest
current_period_strategy_attribution,DATA_INSUFFICIENT,N/A,"No 5ers trade-level data accessible in this session -- see report Section 0"
final_recommendation,C. FURTHER VALIDATION REQUIRED BEFORE ANY CHANGE,N/A,Not implemented -- diagnostic report only
