experiment_id,instrument,strategy_family,hypothesis,timeframe,session,train_period,validation_period,oos_period,trade_count,oos_pf,oos_expectancy,is_t_stat,oos_t_stat,is_pf,is_trades,cost_stress_status,walk_forward_status,monte_carlo_status,portfolio_correlation,drawdown_correlation,marginal_dd_impact,marginal_return_impact,diversification_status,final_classification,notes
EXP-121,EURUSD,calendar_drift,"Monday long open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Monday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,1.823,0.1482,0.69,2.11,1.187,101,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (did not clear pre-declared IS+OOS t>=2.0 bar),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
EXP-122,EURUSD,calendar_drift,"Monday short open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Monday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.465,-0.1899,-1.62,-2.71,0.672,101,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
EXP-123,EURUSD,calendar_drift,"Tuesday long open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Tuesday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,1.211,0.0477,-1.43,0.7,0.687,102,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
EXP-124,EURUSD,calendar_drift,"Tuesday short open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Tuesday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.697,-0.0895,0.63,-1.31,1.184,102,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
EXP-125,EURUSD,calendar_drift,"Wednesday long open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Wednesday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.811,-0.051,-0.07,-0.75,0.981,101,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),A. REJECTED -- no edge,"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
EXP-126,EURUSD,calendar_drift,"Wednesday short open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Wednesday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,1.038,0.0089,-0.54,0.13,0.869,101,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),A. REJECTED -- no edge,"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
EXP-127,EURUSD,calendar_drift,"Thursday long open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Thursday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,83,1.07,0.0175,-0.27,0.24,0.937,102,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),A. REJECTED -- no edge,"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
EXP-128,EURUSD,calendar_drift,"Thursday short open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Thursday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,83,0.795,-0.0589,-0.39,-0.82,0.912,102,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),A. REJECTED -- no edge,"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
EXP-129,EURUSD,calendar_drift,"Friday long open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Friday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,1.093,0.019,-0.68,0.31,0.834,102,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),A. REJECTED -- no edge,"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
EXP-130,EURUSD,calendar_drift,"Friday short open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Friday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.751,-0.0609,-0.04,-0.98,0.99,102,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),A. REJECTED -- no edge,"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
