class_name,return_driver,underlying_market,mechanism,expected_correlation_to_current_book,expected_drawdown_correlation,expected_high_vol_behaviour,session_dependency,data_quality,historical_data_availability,implementation_complexity,overfitting_risk,execution_complexity,transaction_cost_sensitivity,research_cost,potential_independence,reason_to_test,reason_not_to_test
Cross-asset relationships,Lead-lag between a commodity/rate proxy and a currency,FX + a second asset class,Statistical/predictive relationship,LOW,UNKNOWN,UNKNOWN,MEDIUM,MEDIUM,UNKNOWN (second data series not yet sourced in this project),MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,Outside the price-action/technical-indicator space used exclusively so far,Second data series not yet confirmed available in this project's MT5 toolchain
Commodity-based return streams,Supply/inventory/macro-driven commodity moves (beyond the already-tested XAUUSD),Commodities (e.g. crude oil),Directional/breakout on a distinct fundamental driver,LOW,UNKNOWN,MEDIUM (event-driven),MEDIUM,MEDIUM,UNKNOWN (not yet checked for this specific instrument),LOW,MEDIUM,LOW,MEDIUM,LOW,MEDIUM,Low-cost extension of already-available MT5 infrastructure,May replicate XAUUSD's own diagnosed macro/hedge correlation-to-portfolio risk unless specifically checked
Index-based return streams,Equity-risk-sentiment-driven moves,Equity indices (CFD),Session-timed directional/momentum,LOW,UNKNOWN,MEDIUM-HIGH (event windows),"HIGH (NY open, data releases)",UNKNOWN,UNKNOWN (index CFD access not yet confirmed in this project),LOW-MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,A fully different asset class never explored in this project,Data access unconfirmed
Cross-sectional FX,Relative strength/momentum ranking across a currency basket,Multiple FX pairs (basket),Rank-based relative-strength continuation,LOW-MEDIUM,UNKNOWN,MEDIUM,LOW,HIGH (already-available MT5 multi-pair feed),HIGH (same feed already used since Phase 30),MEDIUM,MEDIUM,MEDIUM,LOW-MEDIUM,MEDIUM,MEDIUM-HIGH,Directly extends this project's own already-validated CADJPY cross-sectional momentum finding (PROJECT_REPORT.md phase 6) -- the most evidence-backed alternative,Basket construction and rebalancing rules need their own dedicated pre-registration
Relative-value / spread structures,Convergence/divergence between two correlated instruments,Two correlated FX pairs,Spread mean-reversion or breakout,LOW-MEDIUM,UNKNOWN,UNKNOWN,LOW,HIGH (already-available data),HIGH,MEDIUM,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM-HIGH,"Structurally distinct return driver (relationship, not outright direction) with potentially strong independence if properly currency-neutral",Spread relationships can be unstable and easy to curve-fit in-sample; needs new stability-testing infrastructure
Volatility-conditioned systems,Positioning based on a volatility-regime signal as the PRIMARY trigger (not a secondary classification),A dedicated volatility index or realized-vol term structure,Regime-transition timing,LOW,UNKNOWN,HIGH (by construction -- directly targets Phase32 Priority 1),LOW,LOW,NO -- confirmed data gap (a genuine volatility index/options-derived series is not currently available via this project's MT5 feed),HIGH (data sourcing is the primary barrier),MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM-HIGH,The single most direct match to Phase32's own top-ranked factor (HIGH-vol compatibility),"Required data does not appear to already be available in this project's toolchain -- a real, disclosed gap"
Multi-asset momentum,Momentum signal combined across FX + commodities + (if available) indices,Multiple asset classes,Diversified momentum sleeve,LOW,UNKNOWN,MEDIUM-HIGH,LOW,UNKNOWN (depends on classes 1-3),UNKNOWN (depends on classes 1-3),HIGH,MEDIUM-HIGH,HIGH,MEDIUM,HIGH,HIGH (highest theoretical diversification ceiling on this list),Highest theoretical diversification ceiling by combining independent signal sources,Highest implementation cost; depends on solving classes 1-3's data-access questions first
Event/macro-conditioned systems,"Entries conditioned on a macro regime classifier (rate-cycle, risk-on/risk-off)",FX (any pair) + a macro/sentiment classifier,Regime-filtered directional entry,LOW,UNKNOWN,HIGH (by construction -- directly targets Phase32 Priority 2),LOW,LOW,NO -- confirmed data gap (Phase31 already found risk-off regime could not be reconstructed from available data),HIGH,MEDIUM (if the classifier itself is kept simple and pre-registered),MEDIUM,MEDIUM,HIGH,MEDIUM-HIGH,"Would directly resolve a standing, repeatedly-flagged gap (Phase31's own NOT AVAILABLE finding for the risk-off stress scenario) and the single most direct match to Phase32 Priority 2",The classifier itself must be built and validated first -- a nontrivial prerequisite project
Session-specific structures,A specific recurring calendar/event structure (not a generic session window),FX (any pair),Event-conditioned entry,LOW-MEDIUM,UNKNOWN,MEDIUM,HIGH,MEDIUM-HIGH (core/news_calendar.py already exists for the live news-blackout gate),HIGH,LOW-MEDIUM,MEDIUM,LOW-MEDIUM,LOW-MEDIUM,LOW-MEDIUM,MEDIUM,Builds directly on existing project infrastructure (core/news_calendar.py) -- lowest implementation cost of the data-available options,Calendar effects can be numerous and easy to data-mine without the same pre-registration discipline already established
Other structurally distinct mechanisms,Options-derived positioning; order-flow/microstructure; extended seasonality,Varies,Varies,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOW-UNKNOWN,UNKNOWN (tick-level/DOM data likely beyond current MT5 access for order-flow specifically),UNKNOWN,HIGH (for microstructure specifically),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Catch-all for directions not yet scoped in detail,Each would need its own dedicated scoping project before any ranking is possible
