field,status,detail
Realized volatility (self-calculated from OHLC),AVAILABLE -- DATA WE CAN CALCULATE OURSELVES,"already computed and used extensively (ATR14, ATR terciles, rolling-std) throughout Phases 19/31/32/36/37/38 on the existing MT5 D1/H1 feed -- no new infrastructure required for this specific sub-source"
Implied volatility (options-derived),NOT AVAILABLE,"no options data source integrated in this project; would require a new vendor"
True VIX index or futures,NOT AVAILABLE -- CONFIRMED (direct MT5 check performed this phase),"mt5.symbols_get() over this broker's full 12,525-symbol universe found no exact 'VIX' symbol and no VIX futures contract; searched for 'VIX' substring and found only 4 US-listed volatility ETPs: SVIX, UVIX, VIXM, VIXY"
FX-specific volatility index (e.g. a DEUTSCHE BANK CVIX equivalent),NOT AVAILABLE,"not found in the symbol universe; would require a specialized vendor feed, not confirmed to exist on this broker"
Volatility ETP proxies (SVIX/UVIX/VIXM/VIXY),AVAILABLE WITH MATERIAL CAVEATS,"direct MT5 check: VIXM 2911 D1 bars, VIXY 2912 bars, SVIX/UVIX 1089 bars each (shorter history, newer products) -- all have real tradeable history, but these are leveraged/inverse VIX-FUTURES ETPs subject to daily rebalancing decay and contango drag, not a clean spot-VIX proxy; using them as a volatility-REGIME indicator (not a return-driver) would be more defensible than trading them directly"
Volatility futures,NOT AVAILABLE,"not confirmed present in the broker's symbol universe; not separately verified beyond the ETP check above"
Historical volatility surfaces,NOT AVAILABLE,"no options/surface data source in this project"
History length (self-calculated realized vol),STRONG,"matches the underlying FX D1/H1 feed's own history (confirmed back to 2019 for the pairs already used in Phases 30-38, further back to 2015 for some majors per this phase's own MT5 checks)"
Timestamp quality,STRONG (self-calculated),"inherits the same integrity-asserted MT5 pull already validated project-wide (monotonic, no duplicates, positive OHLC)"
Bid/ask availability,NOT AVAILABLE (self-calculated realized vol uses mid/OHLC, consistent with this project's flat-cost convention throughout),"same limitation already disclosed for every other FX hypothesis in this project (Phase37 §data_availability, Phase38 preregistration)"
Cost/licensing,LOW for self-calculated realized vol (no new vendor); UNKNOWN for a true implied-vol or FX-vol-index source,"no vendor quote obtained for the unavailable sources"
Reproducibility,STRONG for self-calculated realized vol; NOT ACHIEVABLE for true implied/options-derived vol without a new source,
Regime coverage,STRONG for self-calculated realized vol (already characterized across 5 historical periods 2019-2026 in Phases 36-38),
Point-in-time concerns,LOW for self-calculated realized vol (no revisions, computed directly from historical OHLC, same convention as every prior phase's regime analysis),
Overall feasibility,B -- USABLE WITH CONTROLS for a self-calculated realized-volatility-CONDITIONING approach; D -- CURRENTLY UNSUITABLE for a true implied-volatility or dedicated FX-vol-index approach,"the project can credibly research volatility-REGIME-CONDITIONED strategies using its own existing ATR/realized-vol infrastructure today, without new data acquisition -- a materially better feasibility position than Phase37's Track B flagged (which assumed a dedicated vol-index was required); a genuinely new implied-vol-based approach remains blocked"
