class_name,historical_data_source,minimum_usable_history,timeframe_availability,bid_ask_availability,spread_availability,corporate_action_concerns,rollover_concerns,contract_change_concerns,survivorship_concerns,timestamp_quality,data_normalization_requirements,overall_data_readiness
Cross-asset relationships,UNKNOWN -- second data series not yet sourced,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOW (FX/commodity proxies typically N/A),MEDIUM (if commodity futures-based),UNKNOWN,LOW,UNKNOWN (depends on source),MEDIUM (aligning two series' timestamps/lags),NOT READY -- requires new data sourcing
Commodity-based return streams,Likely same MT5 feed already used for XAUUSD -- specific instrument not yet checked,UNKNOWN,Likely good (same feed pattern as existing instruments),Likely yes (same feed pattern),Likely yes,LOW,MEDIUM (futures-linked CFDs can have rollover effects),MEDIUM (if futures-based),LOW,Likely good (same feed already validated for XAUUSD),LOW,PARTIALLY READY -- verification needed
Index-based return streams,UNKNOWN -- index CFD access not yet confirmed in this project,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM (dividend adjustments on some index CFDs),MEDIUM,LOW,LOW,UNKNOWN,MEDIUM,NOT READY -- requires confirmation of MT5 index CFD access
Cross-sectional FX,Same MT5 feed already used since Phase 30 (validated),"3+ years already confirmed (2023-2026, extendable to 2019+ per Phase36/37 own AUDUSD pull)",Confirmed good (D1/H1/H4 all already used successfully),"Not directly available (this project has used mid-price OHLC with a flat spread assumption throughout, not live bid/ask history)",Assumed via the same flat-cost convention used project-wide,None (spot FX),None (spot FX),None,LOW,Confirmed good (validated via research_data_validator across every prior phase),LOW (basket alignment across already-used pairs),READY
Relative-value / spread structures,Same MT5 feed,Same as cross-sectional FX,Confirmed good,Same limitation as cross-sectional FX,Same flat-cost convention,None,None,None,LOW,Confirmed good,MEDIUM (spread/cointegration construction),READY for data; MEDIUM readiness on methodology
Volatility-conditioned systems,NO CONFIRMED SOURCE -- a genuine volatility index or options-derived series is not available via this project's current MT5 feed,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOW,LOW,UNKNOWN,LOW,UNKNOWN,"HIGH (would need a new proxy construction, e.g. realized-vol term structure from existing OHLC, if a true vol index is unavailable)",NOT READY -- confirmed data gap
Multi-asset momentum,Depends on classes 1-3 being solved first,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Combines the concerns of classes 1-3,Combines the concerns of classes 1-3,Combines the concerns of classes 1-3,LOW,UNKNOWN,HIGH,NOT READY -- compound dependency on unresolved data gaps
Event/macro-conditioned systems,NO CONFIRMED SOURCE for a risk-on/risk-off classifier -- Phase31 already found this could not be reconstructed from available data,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOW,LOW,UNKNOWN,LOW,UNKNOWN,HIGH (classifier construction itself is a prerequisite project),NOT READY -- confirmed data gap (already independently flagged in Phase31)
Session-specific structures,Same MT5 feed for price data + core/news_calendar.py already exists for calendar data,Same as cross-sectional FX for price; calendar-feed history not yet audited for depth,Confirmed good for price,Same limitation as above,Same flat-cost convention,None,None,None,LOW,Confirmed good for price; calendar feed quality not yet audited,MEDIUM (event-to-price-window alignment),MOSTLY READY -- calendar feed depth needs a quick audit
Other structurally distinct mechanisms,UNKNOWN (varies by sub-idea; order-flow/microstructure likely needs tick/DOM data beyond current MT5 access),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"NOT READY -- undefined, needs dedicated scoping first"
