experiment_id,phase,hypothesis_id,strategy_family,instrument,mechanism,session,timeframe,train_period,validation_period,oos_period,oos_trades,oos_pf,oos_expectancy,oos_total_R,oos_max_dd,oos_first_half_R,oos_second_half_R,parameter_robustness,cost_robustness,high_vol_result,drawdown_correlation,portfolio_fit,final_classification,rejection_reason,preregistered,post_result_modification,notes
EXP-121,Phase30,EXP-121,calendar_drift,EURUSD,calendar_drift,Monday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,1.823,0.1482,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (did not clear pre-declared IS+OOS t>=2.0 bar),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-122,Phase30,EXP-122,calendar_drift,EURUSD,calendar_drift,Monday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.465,-0.1899,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-123,Phase30,EXP-123,calendar_drift,EURUSD,calendar_drift,Tuesday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,1.211,0.0477,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-124,Phase30,EXP-124,calendar_drift,EURUSD,calendar_drift,Tuesday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.697,-0.0895,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-125,Phase30,EXP-125,calendar_drift,EURUSD,calendar_drift,Wednesday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.811,-0.051,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),A. REJECTED -- no edge,"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-126,Phase30,EXP-126,calendar_drift,EURUSD,calendar_drift,Wednesday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,1.038,0.0089,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),A. REJECTED -- no edge,"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-127,Phase30,EXP-127,calendar_drift,EURUSD,calendar_drift,Thursday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,83,1.07,0.0175,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),A. REJECTED -- no edge,"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-128,Phase30,EXP-128,calendar_drift,EURUSD,calendar_drift,Thursday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,83,0.795,-0.0589,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),A. REJECTED -- no edge,"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-129,Phase30,EXP-129,calendar_drift,EURUSD,calendar_drift,Friday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,1.093,0.019,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),A. REJECTED -- no edge,"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-130,Phase30,EXP-130,calendar_drift,EURUSD,calendar_drift,Friday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.751,-0.0609,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),A. REJECTED -- no edge,"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
