field,status,detail
Historical economic calendar,NOT AVAILABLE (DATA-FEASIBILITY ASSESSMENT),"core/news_calendar.py's only integrated source is Forex Factory's free 'thisweek' JSON feed (https://nfs.faireconomy.media/ff_calendar_thisweek.json), cached to data/news_calendar.json and refreshed every 6h -- this is a ROLLING CURRENT-WEEK window, not a historical archive. Inspected the live cache (fetched_at 2026-07-19): 11 events, fields = {currency, title, time_utc} only."
Event timestamp,PARTIAL,"time_utc is present and ISO8601-formatted for the current-week feed; no historical timestamp archive exists in this project"
Actual (released) value,NOT AVAILABLE,"not present in the cached feed schema; would require a different, historical-capable source"
Consensus forecast,NOT AVAILABLE,"not present in the cached feed schema"
Previous value,NOT AVAILABLE,"not present in the cached feed schema"
Revision history,NOT AVAILABLE,"no revision tracking anywhere in this project's data pipeline; many macro series (NFP, GDP, PMI) are revised after initial release, and a point-in-time-correct backtest would need the AS-FIRST-PUBLISHED value, not today's revised value -- this project has no mechanism to distinguish the two"
Event importance/impact tier,NOT CONFIRMED IN CACHE,"the live news-gate logic (is_blackout) is known to filter by impact elsewhere in core/news_calendar.py, but the persisted cache itself does not retain an impact field -- would need re-verification of the full fetch logic to confirm what filtering criteria are actually applied upstream"
Country/currency tagging,AVAILABLE (partial),"currency field present in the current-week cache (e.g. 'CAD'); country-level tagging not separately confirmed"
CPI/NFP/FOMC/ECB/BOE/BOJ/GDP/PMI coverage,UNKNOWN (current-week feed only),"cannot be assessed for historical coverage without a historical-capable source; the current-week feed's own event-type coverage was not exhaustively audited in this phase since it does not solve the point-in-time problem regardless"
Point-in-time availability,NOT AVAILABLE -- CONFIRMED GAP,"this is the single most important gap for Event/Macro research: no point-in-time (as-first-released) database exists in this project, and the free ForexFactory feed provides no historical archive at all. Without this, any backtest of an event-conditioned strategy would risk look-ahead bias (using revised/final data unavailable at trade time)"
Licensing,UNKNOWN,"a licensed historical economic-calendar provider (e.g. a paid Econoday/TradingEconomics/FRED-vintage-style API) has not been evaluated for cost or terms in this project to date"
Cost,UNKNOWN,"no vendor quote obtained; would require external research outside this phase's scope"
API availability,UNKNOWN,"not evaluated -- would require vendor research"
Reproducibility,NOT ACHIEVABLE with current infrastructure,"the current-week-only cache cannot reproduce ANY historical event-conditioned backtest -- a fundamental blocker, not a data-quality nuance"
Survivorship/look-ahead risk,HIGH RISK if a naive historical calendar were substituted without point-in-time/revision handling,"most public 'historical' economic calendars show only the LATEST (revised) values, not what was known at release time -- using one naively would silently introduce look-ahead bias, echoing this project's own prior alignment-bug incident class (see project memory on the NZDJPY alignment bug)"
Overall feasibility,D -- CURRENTLY UNSUITABLE (confirms Phase37's finding independently),"matches Phase37's Track B finding (data/phase37_data_availability.csv) that Event/macro-conditioned systems has a confirmed data gap -- this phase's direct inspection of the actual cached feed corroborates that finding with concrete evidence rather than inference"
