finding,classification,basis,temporal_validation
Volatility percentile is higher on stress days than normal days (+15.6 pts, worst-5% vs normal),STRONG,phase49_marginal_stress_factors.csv,Survives (same direction earlier and later half)
HIGH-volatility state shows a consistently worse daily-R than non-HIGH across the full sample,CONFIRMED,phase49_temporal_validation.csv,Survives (negative in both halves)
Concurrency shows no clean monotonic relationship with daily R across thresholds 1+ through 6+,MODERATE,phase49_concurrency_analysis.csv,Does NOT survive temporal validation as a standalone effect (sign flips between earlier/later half for the 4+ threshold specifically)
Worst-10%-day losses are concentrated ~91% in the concurrency>=4 subset of that already-stressed population,STRONG (descriptive),phase49_descriptive_counterfactuals.csv,Not independently temporally validated this phase -- a single-population descriptive statistic, not a hi-vs-lo comparison
JPY exposure shows a consistent negative pattern once controlling for volatility state and concurrency (JPY-high underperforms JPY-low in every vol x concurrency cell with adequate sample),MODERATE,phase49_jpy_analysis.csv,Survives temporal validation (negative in both halves) though the marginal-only JPY effect (not controlling for vol/concurrency) was only PLAUSIBLE
AMR exposure shows no strong marginal stress association but a real conditional effect within HIGH volatility specifically,PLAUSIBLE,phase49_amr_analysis.csv;phase49_marginal_stress_factors.csv,Directionally survives (both halves negative) but the earlier-half effect was near-zero -- large magnitude change between halves
GBPJPY_AMR's own daily R is highly correlated with total portfolio R on days it is active (r=0.727) -- it moves WITH the portfolio more than it independently drives it,MODERATE,phase49_gbpjpy_analysis.csv,Not independently temporally validated this phase
GBPJPY_AMR-active days are NOT dramatically worse on average than GBPJPY_AMR-inactive days (0.173 vs 0.336 mean R -- a real but modest difference),PLAUSIBLE,phase49_gbpjpy_analysis.csv,Not independently temporally validated this phase
Losses on the worst 1/5/10% of days are PROPORTIONAL across strategies (no single strategy exceeds 26% of bucket total loss),CONFIRMED,phase49_worst_day_decomposition.csv,Consistent with Phase41's independent prior finding using different methodology
100% of worst-1/5/10%-day populations show 2+ simultaneously losing strategies (avg 3.7-5.1 per stress day),CONFIRMED,phase49_loss_sequence.csv,Consistent with Phase41's independent prior finding
Directional asymmetry (long-heavy outperforms short-heavy) is present in normal/high-vol/high-concurrency conditions but nearly disappears on stress days specifically (both directions equally bad),MODERATE,phase49_directional_analysis.csv,Not independently temporally validated this phase
Session composition shows ZERO New York exposure across all 774 trading days -- confirmed directly, not assumed,CONFIRMED,phase49_session_analysis.csv,N/A -- a structural fact of the control, not a stress-conditional finding
The multi-factor explanatory model explains only ~3.8% of daily-R variance (R2=0.038) even using 7 predictors simultaneously,STRONG (negative finding),phase49_multifactor_model.csv,N/A -- single full-sample fit; JPY/AMR/ARB share coefficients show collinearity (near-identical t-stats), a disclosed modeling limitation
No single joint-state combination cell shows an extreme, well-sampled effect that dominates all others,MODERATE,phase49_joint_state_analysis.csv,Not independently temporally validated this phase (66 of 72 cells adequately sampled, but each cell tested only once on the full period)
Stress days are neither cleanly isolated nor cleanly clustered (36.4% occur within 5 days of another stress day),MODERATE,phase49_stress_clusters.csv,N/A -- single-period classification
Pre-stress (T-1) exposure state does not show an obviously distinct signature from normal-day state (see phase49_pre_stress_exposure.csv for the raw T-1 characterization),EXPLORATORY,phase49_pre_stress_exposure.csv,Not independently temporally validated this phase; intraday T-60/30/15min exposure UNKNOWN BY DATA LIMITATION
